title,ingredients,ingredient
Citrus Sponge Cake with Strawberries,"['Potato starch (for dusting cake pan)', '2 teaspoons vegetable oil', '1/2 cup matzoh cake meal', '3/4 cup potato starch', '8 extra-large eggs, separated, at room temperature', '1 cup sugar', '1/4 cup orange juice', 'Juice of 1 large lemon', '1 teaspoon freshly grated orange zest', '1 teaspoon freshly grated lemon zest', '1 1/2 teaspoons pure vanilla extract', '1/2 teaspoon almond extract', '1/4 teaspoon salt', '3 pints strawberries, stemmed, washed, and thinly sliced', '1/2 cup orange juice', '1 tablespoon sugar']","['Potato starch (for dusting cake pan)', 'vegetable oil', 'matzoh cake meal', 'potato starch', '-large eggs, separated, at room temperature', 'sugar', 'orange juice', 'Juice of 1 large lemon', 'freshly grated orange zest', 'freshly grated lemon zest', '1/2 teaspoons pure vanilla extract', 'almond extract', 'salt', 'strawberries, stemmed, washed, and thinly sliced', 'orange juice', 'sugar']"
Coconut-Blueberry Cake,"['2 cups sifted self-rising flour', '1 cup plus 1 tablespoon sugar', '1/2 cup (1 stick) chilled unsalted butter, cut into pieces', '2/3 cup sweetened shredded coconut, lightly toasted', '1/2 cup milk', '2 large eggs', '1 teaspoon vanilla extract', '1 21-ounce can blueberry pie filling', '2 teaspoons fresh lemon juice']","['sifted self-rising flour', 'plus 1 tablespoon sugar', '(1 stick) chilled unsalted butter, cut into pieces', 'sweetened shredded coconut, lightly toasted', 'milk', 'eggs', 'vanilla extract', '21-ounce can blueberry pie filling', 'fresh lemon juice']"
Coconut Cake with Chocolate Chunks and Coconut Drizzle,"['1 3/4 cups all purpose flour', '2 teaspoons baking powder', '1 teaspoon fine sea salt', '1 cup unsweetened shredded coconut*', '3/4 cup sugar', '1/2 cup (1 stick) unsalted butter, room temperature', '2 teaspoons (packed) finely grated orange peel', '2 large eggs', '1 teaspoon vanilla extract', '1 cup canned unsweetened coconut milk**', '6 ounces bittersweet chocolate bars (do not exceed 61% cacao), broken into 1/2-inch irregular pieces, divided', '1/2 cup sweetened flaked coconut', '3/4 cup powdered sugar', '2 tablespoons (or more) canned unsweetened coconut milk**', '1/2 teaspoon vanilla extract', 'Vanilla ice cream']","['3/4 cups all purpose flour', 'baking powder', 'fine sea salt', 'unsweetened shredded coconut*', 'sugar', '(1 stick) unsalted butter, room temperature', '(packed) finely grated orange peel', 'eggs', 'vanilla extract', 'canned unsweetened coconut milk**', 'bittersweet chocolate bars (do not exceed 61% cacao), broken into 1/2-inch irregular pieces, divided', 'sweetened flaked coconut', 'powdered sugar', '(or more) canned unsweetened coconut milk**', 'vanilla extract', 'Vanilla ice cream']"
Coconut Cake with Lime Curd,"['3 cups White Lily flour or cake flour (not self-rising)', '1 tablespoon baking powder', '1 teaspoon salt', '1 cup whole milk', '1/2 cup fresh coconut liquid (from about 3 heavy coconuts without any cracks and containing liquid, (procedure follows) or water', '1 1/2 teaspoons vanilla', '2 1/2 sticks (1 1/4 cups) unsalted butter, softened', '1 3/4 cups sugar', '5 large eggs', '6 large egg yolks', '3/4 cup sugar', '1/2 cup fresh lime juice', '3 tablespoons heavy cream', '3/4 stick (6 tablespoons) cold unsalted butter, cut into pieces', '2 teaspoons freshly grated lime zest', '1 cup shredded fresh coconut (procedure follows) or sweetened \xa0flaked coconut', '2 large egg whites', '1 1/2 cups sugar', '1/2 cup water', '1 tablespoon light corn syrup', '1 teaspoon freshly grated lime zest', '1 teaspoon fresh lime juice', 'about 4 cups shaved fresh coconut (procedure follows) or 2 1/2 cups sweetened flaked coconut']","['White Lily flour or cake flour (not self-rising)', 'baking powder', 'salt', 'whole milk', 'fresh coconut liquid (from about 3 heavy coconuts without any cracks and containing liquid, (procedure follows) or water', '1/2 teaspoons vanilla', '1/2 sticks (1 1/4 cups) unsalted butter, softened', '3/4 cups sugar', 'eggs', 'egg yolks', 'sugar', 'fresh lime juice', 'heavy cream', '(6 tablespoons) cold unsalted butter, cut into pieces', 'freshly grated lime zest', 'shredded fresh coconut (procedure follows) or sweetened \xa0flaked coconut', 'egg whites', '1/2 cups sugar', 'water', 'light corn syrup', 'freshly grated lime zest', 'fresh lime juice', 'about 4 cups shaved fresh coconut (procedure follows) or 2 1/2 cups sweetened flaked coconut']"
Coconut-Key Lime Sheet Cake,"['1 1/2 cups unsweetened shredded coconut', 'Nonstick vegetable oil spray', '1 3/4 cups cake flour, plus more for pan', '1/2 teaspoon baking powder', '1/2 teaspoon kosher salt', '1/3 cup virgin coconut oil, melted', '1 1/2 teaspoons vanilla extract', '1 1/3 cups canned unsweetened coconut milk, divided', '1 1/2 cups sugar', '3/4 cup (1 1/2 sticks) unsalted butter, room temperature', '3 large eggs', '1 tablespoon finely grated key lime zest', '1/3 cup fresh key lime juice (from about 6 key limes)', '1/4 cup (1/2 stick) unsalted butter, cut into pieces, room temperature', '3 large egg yolks', '1/2 cup sugar', '1 teaspoon finely grated key lime zest', '1/4 cup fresh key lime juice (from about 4 key limes)', '1 1/2 cups cold heavy cream', '1 teaspoon finely grated key lime zest', '1 cup unsweetened coconut flakes']","['1/2 cups unsweetened shredded coconut', 'Nonstick vegetable oil spray', '3/4 cups cake flour, plus more for pan', 'baking powder', 'kosher salt', 'virgin coconut oil, melted', '1/2 teaspoons vanilla extract', '1/3 cups canned unsweetened coconut milk, divided', '1/2 cups sugar', '(1 1/2 sticks) unsalted butter, room temperature', 'eggs', 'finely grated key lime zest', 'fresh key lime juice (from about 6 key limes)', '(1/2 stick) unsalted butter, cut into pieces, room temperature', 'egg yolks', 'sugar', 'finely grated key lime zest', 'fresh key lime juice (from about 4 key limes)', '1/2 cups cold heavy cream', 'finely grated key lime zest', 'unsweetened coconut flakes']"
Coconut Mint Cream Cake,"['2 3/4 cups cake flour', '4 teaspoons baking powder', '3/4 teaspoon salt', '1 cup whole milk', '1 teaspoon vanilla extract', '1 teaspoon coconut extract (optional)', '3/4 cup (1 1/2 sticks) unsalted butter, room temperature', '1 1/2 cups sugar, divided', '4 large egg whites', '1 14-ounce can sweetened condensed milk', '1 14-ounce can coconut cream', '1/3 cup chopped fresh mint leaves', '1/4 cup sugar', '3 tablespoons water', '1 1/2 cups heavy whipping cream, chilled', 'Sweetened flaked coconut']","['3/4 cups cake flour', 'baking powder', 'salt', 'whole milk', 'vanilla extract', 'coconut extract (optional)', '(1 1/2 sticks) unsalted butter, room temperature', '1/2 cups sugar, divided', 'egg whites', '14-ounce can sweetened condensed milk', '14-ounce can coconut cream', 'chopped fresh mint leaves', 'sugar', 'water', '1/2 cups heavy whipping cream, chilled', 'Sweetened flaked coconut']"
Coconut Pineapple Cake,"['1 cup cake flour (not self-rising)', '1/2 teaspoon salt', '6 large eggs at room temperature', '1 cup sugar', '2 teaspoons vanilla', '3/4 stick (6 tablespoons) unsalted butter, melted and cooled', '1 (20-ounce) can crushed pineapple, including juice', '2 tablespoons sugar', '1 tablespoon cornstarch', '1 teaspoon fresh lemon juice', '2/3 cup water', '1/4 cup sugar', '3 tablespoons light rum', 'Coconut buttercream', '3 1/2 cups fresh coconut shavings (see how to crack and shave fresh coconut ) or 2 2/3 cups sweetened flaked coconut (7-oz package)']","['cake flour (not self-rising)', 'salt', 'eggs at room temperature', 'sugar', 'vanilla', '(6 tablespoons) unsalted butter, melted and cooled', '(20-ounce) can crushed pineapple, including juice', 'sugar', 'cornstarch', 'fresh lemon juice', 'water', 'sugar', 'light rum', 'Coconut buttercream', '1/2 cups fresh coconut shavings (see how to crack and shave fresh coconut ) or 2 2/3 cups sweetened flaked coconut (7-oz package)']"
Coconut Rum Cake,"['1 1/4 cups all-purpose flour', '1 1/2 teaspoons baking powder', '1/4 teaspoon salt', '4 large eggs plus 3 large yolks', '1 1/2 cups sugar', '1 teaspoon pure vanilla extract', '1 1/2 sticks unsalted butter, melted and cooled', '3/4 cup well-stirred sweetened cream of coconut such as Coco LÃ³pez', '1 medium coconut', '2 teaspoons confectioners sugar', '3 tablespoons cream cheese, softened', '3 tablespoons well-stirred sweetened cream of coconut', '1 tablespoon dark rum', '3/4 teaspoon pure vanilla extract', '2 to 3 tablespoons heavy cream', '1/2 cup confectioners sugar', 'Equipment: a 9-inch round cake pan (2 inches deep); an adjustable-blade slicer']","['1/4 cups all-purpose flour', '1/2 teaspoons baking powder', 'salt', 'eggs plus 3 large yolks', '1/2 cups sugar', 'pure vanilla extract', '1/2 sticks unsalted butter, melted and cooled', 'well-stirred sweetened cream of coconut such as Coco LÃ³pez', 'coconut', 'confectioners sugar', 'cream cheese, softened', 'well-stirred sweetened cream of coconut', 'dark rum', 'pure vanilla extract', '3 tablespoons heavy cream', 'confectioners sugar', 'Equipment: a 9-inch round cake pan (2 inches deep); an adjustable-blade slicer']"
Coconut Sour Cream Cake,"['1 1/4 cups sour cream', '1 cup canned cream of coconut (such as Coco LÃ³pez)', '3 large eggs', '1/4 cup vegetable oil', '1 tablespoon fresh lemon juice', '1 18.25-ounce box white cake mix', '2 cups flaked sweetened coconut, toasted']","['1/4 cups sour cream', 'canned cream of coconut (such as Coco LÃ³pez)', 'eggs', 'vegetable oil', 'fresh lemon juice', '18.25-ounce box white cake mix', 'flaked sweetened coconut, toasted']"
Coconut Spice Cake,"['2 cups plus 3 tablespoons sifted unbleached all purpose flour', '2 teaspoons baking powder', '1 teaspoon ground ginger', '3/4 teaspoon baking soda', '3/4 teaspoon salt', '3/4 teaspoon ground cinnamon', '1 cup (2 sticks) unsalted butter, room temperature', '3/4 cup sugar', '2 eggs', '1/2 cup plus 2 tablespoons light unsulfured molasses', '2 tablespoons grated orange peel', '1 teaspoon vanilla extract', '3/4 cup buttermilk', '1 cup shredded sweetened coconut, toasted', '1/2 cup diced crystallized ginger (about 2 1/2 ounces)', '8 ounces cream cheese, room temperature', '1/2 cup (1 stick) unsalted butter, room temperature', '2 tablespoons grated orange peel', '1 teaspoon vanilla extract', '1 1-pound box powdered sugar', '1/3 cup minced crystallized ginger (scant 2 ounces)', '1 cup shredded sweetened coconut, toasted', 'Tropical fruit such as pineapple, papaya and mango, cut into bite-size pieces']","['plus 3 tablespoons sifted unbleached all purpose flour', 'baking powder', 'ground ginger', 'baking soda', 'salt', 'ground cinnamon', '(2 sticks) unsalted butter, room temperature', 'sugar', '', 'plus 2 tablespoons light unsulfured molasses', 'grated orange peel', 'vanilla extract', 'buttermilk', 'shredded sweetened coconut, toasted', 'diced crystallized ginger (about 2 1/2 ounces)', 'cream cheese, room temperature', '(1 stick) unsalted butter, room temperature', 'grated orange peel', 'vanilla extract', '1-pound box powdered sugar', 'minced crystallized ginger (scant 2 ounces)', 'shredded sweetened coconut, toasted', 'Tropical fruit such as pineapple, papaya and mango, cut into bite-size pieces']"
Coffee Almond Ice-Cream Cake with Dark Chocolate Sauce,"['1 1/2 cups fine chocolate wafer crumbs (about 30 wafers)', '1/2 stick (1/4 cup) unsalted butter, melted', '1 1/2 pints coffee ice cream, softened slightly', '1 1/2 cups well-chilled heavy cream', '1 teaspoon vanilla', '1 1/2 cups crushed amaretti (Italian almond macaroons, available at specialty foods shops and some supermarkets)', '1/2 cup sliced almonds, toasted', '1 1/2 cups heavy cream', '2/3 cup firmly packed dark brown sugar', '4 ounces fine-quality bittersweet chocolate, chopped', '3 ounces unsweetened chocolate, chopped', '1/2 stick (1/4 cup) unsalted butter, softened', '3 to 4 tablespoons Amaretto, or to taste']","['1/2 cups fine chocolate wafer crumbs (about 30 wafers)', '(1/4 cup) unsalted butter, melted', '1/2 pints coffee ice cream, softened slightly', '1/2 cups well-chilled heavy cream', 'vanilla', '1/2 cups crushed amaretti (Italian almond macaroons, available at specialty foods shops and some supermarkets)', 'sliced almonds, toasted', '1/2 cups heavy cream', 'firmly packed dark brown sugar', 'fine-quality bittersweet chocolate, chopped', 'unsweetened chocolate, chopped', '(1/4 cup) unsalted butter, softened', '4 tablespoons Amaretto, or to taste']"
Coffee-Chocolate Layer Cake with Mocha-Mascarpone Frosting,"['2 cups cake flour', '3/4 cup natural unsweetened cocoa powder', '1 1/2 teaspoons baking soda', '3/4 teaspoon salt', '3/4 cup (1 1/2 sticks) unsalted butter, room temperature', '2 cups (packed) golden brown sugar', '3 large eggs', '11/2 teaspoons vanilla extract', '1 cup buttermilk', '4 teaspoons instant espresso powder dissolved in 3/4 cup hot water', '1/3 cup natural unsweetened cocoa powder', '1 tablespoon instant espresso powder', '1 1/2 cups chilled heavy whipping cream, divided', '1 1/3 cups sugar', '2 8-ounce containers chilled mascarpone cheese*', 'Bittersweet chocolate curls (optional)']","['cake flour', 'natural unsweetened cocoa powder', '1/2 teaspoons baking soda', 'salt', '(1 1/2 sticks) unsalted butter, room temperature', '(packed) golden brown sugar', 'eggs', 'vanilla extract', 'buttermilk', 'instant espresso powder dissolved in 3/4 cup hot water', 'natural unsweetened cocoa powder', 'instant espresso powder', '1/2 cups chilled heavy whipping cream, divided', '1/3 cups sugar', '8-ounce containers chilled mascarpone cheese*', 'Bittersweet chocolate curls (optional)']"
Coffee Coffee Coffee Cake,"['1 cup all-purpose flour', '3/4 cup chilled unsalted butter, cubed', '1/4 cup (packed) light brown sugar', '1/4 cup powdered sugar', '2 teaspoons instant espresso powder', '1/4 teaspoon kosher salt', '6 ounces semisweet chocolate, coarsely chopped', '2 tablespoons unsalted butter', '4 ounces pecans (about 3/4 cup), lightly toasted and coarsely chopped', '1/4 cup strong brewed coffee', '1 tablespoon granulated sugar', '1/2 cup (1 stick) unsalted butter, room temperature, plus more for pan', '2 1/2 cups all-purpose flour, plus more for pan', '2 tablespoons instant espresso powder', '1 teaspoon baking powder', '1 teaspoon baking soda', '1 teaspoon ground cinnamon', '1 teaspoon kosher salt', '1/4 teaspoon ground cardamom', '3/4 cup strong brewed coffee, room temperature', '1/2 cup sour cream', '1 teaspoon vanilla extract', '1 1/4 cups granulated sugar', '3 large eggs plus 1 egg yolk, room temperature', '1 cup powdered sugar', '2 tablespoons coffee liqueur', '1 tablespoon sour cream', 'A 10-inch tube pan']","['all-purpose flour', 'chilled unsalted butter, cubed', '(packed) light brown sugar', 'powdered sugar', 'instant espresso powder', 'kosher salt', 'semisweet chocolate, coarsely chopped', 'unsalted butter', 'pecans (about 3/4 cup), lightly toasted and coarsely chopped', 'strong brewed coffee', 'granulated sugar', '(1 stick) unsalted butter, room temperature, plus more for pan', '1/2 cups all-purpose flour, plus more for pan', 'instant espresso powder', 'baking powder', 'baking soda', 'ground cinnamon', 'kosher salt', 'ground cardamom', 'strong brewed coffee, room temperature', 'sour cream', 'vanilla extract', '1/4 cups granulated sugar', 'eggs plus 1 egg yolk, room temperature', 'powdered sugar', 'coffee liqueur', 'sour cream', 'A 10-inch tube pan']"
Coffee-Walnut Cake with Coffee-Mascarpone Cream,"['1 cup walnuts (about 4 ounces), toasted, chopped, divided', '1 cup sugar, divided', '1 tablespoon instant espresso powder', '1 1/3 cups all purpose flour', '2 teaspoons baking powder', '1/2 teaspoon ground cinnamon', '1/4 teaspoon baking soda', '1/4 teaspoon salt', '10 tablespoons (1 1/4 sticks) unsalted butter, room temperature', '3 large eggs', '1 large egg yolk', '1/2 teaspoon vanilla extract', '3/4 cup buttermilk', '4 1/2 teaspoons instant espresso powder', '1 tablespoon water', '1 cup chilled heavy whipping cream', '1/2 cup (4 ounces) mascarpone cheese*', '1/2 cup powdered sugar', '1/2 teaspoon vanilla extract', '3/4 cup (about 3 ounces) walnuts, toasted, chopped', '1/4 teaspoon ground cinnamon', 'Pinch of salt', '*Italian cream cheese; sold at many supermarkets and at Italian markets.']","['walnuts (about 4 ounces), toasted, chopped, divided', 'sugar, divided', 'instant espresso powder', '1/3 cups all purpose flour', 'baking powder', 'ground cinnamon', 'baking soda', 'salt', '(1 1/4 sticks) unsalted butter, room temperature', 'eggs', 'egg yolk', 'vanilla extract', 'buttermilk', '1/2 teaspoons instant espresso powder', 'water', 'chilled heavy whipping cream', '(4 ounces) mascarpone cheese*', 'powdered sugar', 'vanilla extract', '(about 3 ounces) walnuts, toasted, chopped', 'ground cinnamon', 'Pinch of salt', '*Italian cream cheese; sold at many supermarkets and at Italian markets.']"
Cornmeal Cake with Black Cherry Compote,"['Yellow cornmeal', '1/2 vanilla bean, split lengthwise', ""2 cups fresh goat's milk or whole milk"", '1/4 cup (1/2 stick) unsalted butter', '1 teaspoon grated lemon peel', '3/4 teaspoon salt', '1 cup yellow cornmeal', '1/4 cup honey', '5 tablespoons sugar', '4 large eggs, separated', 'Black Cherry Compote']","['Yellow cornmeal', 'bean, split lengthwise', ""fresh goat's milk or whole milk"", '(1/2 stick) unsalted butter', 'grated lemon peel', 'salt', 'yellow cornmeal', 'honey', 'sugar', 'eggs, separated', 'Black Cherry Compote']"
Cornmeal Cake with Buttermilk Ice Cream and Rhubarb Compote,"['1 cup all purpose flour', '1/2 cup yellow cornmeal', '1 1/2 teaspoons Homemade Baking Powder', '1/2 teaspoon salt', '1/2 cup (1 stick) unsalted butter, room temperature', '1 tablespoon finely grated orange peel', '1 cup sugar', '2 large eggs, room temperature', '1/2 cup sour cream', '1 teaspoon vanilla extract', '2 tablespoons coarsely crushed sugar cubes', 'Buttermilk Ice Cream', 'Rhubarb Compote']","['all purpose flour', 'yellow cornmeal', '1/2 teaspoons Homemade Baking Powder', 'salt', '(1 stick) unsalted butter, room temperature', 'finely grated orange peel', 'sugar', 'eggs, room temperature', 'sour cream', 'vanilla extract', 'coarsely crushed sugar cubes', 'Buttermilk Ice Cream', 'Rhubarb Compote']"
Cornmeal Cake with Sweet Rosemary Syrup and Blackberries,"['1 stick (1/2 cup) unsalted butter, softened', '1 cup sugar', '1 cup yellow cornmeal', '3/4 cup all-purpose flour', '1 teaspoon baking powder', '3/4 teaspoon salt', '2 large eggs', '1 large egg yolk', '2/3 cup milk', 'Sweet Rosemary Syrup', 'lightly sweetened whipped cream', '2 half-pints blackberries']","['(1/2 cup) unsalted butter, softened', 'sugar', 'yellow cornmeal', 'all-purpose flour', 'baking powder', 'salt', 'eggs', 'egg yolk', 'milk', 'Sweet Rosemary Syrup', 'lightly sweetened whipped cream', '-pints blackberries']"
"Cornmeal Pound Cake with Rosemary Syrup, Poached Pears, and Candied Rosemary","['3 cups water', '2 cups sugar', '1 cup dry or off-dry Riesling', '3 fresh rosemary sprigs', '1 vanilla bean, split lengthwise', '1/4 teaspoon whole black peppercorns', '8 Forelle pears or other small pears, peeled, stems left intact', '1 cup all purpose flour', '1 cup yellow cornmeal', '1 cup (2 sticks) unsalted butter, room temperature', '1 1/3 cups sugar', '1/4 teaspoon salt', '5 large eggs, beaten to blend in medium bowl', '1 teaspoon vanilla extract', '1 cup sugar', '1/2 cup water', '8 (4-inch-long) fresh rosemary sprigs', ""Baker's sugar or other superfine sugar""]","['water', 'sugar', 'dry or off-dry Riesling', 'rosemary sprigs', 'bean, split lengthwise', 'whole black peppercorns', 'pears or other small pears, peeled, stems left intact', 'all purpose flour', 'yellow cornmeal', '(2 sticks) unsalted butter, room temperature', '1/3 cups sugar', 'salt', 'eggs, beaten to blend in medium bowl', 'vanilla extract', 'sugar', 'water', '(4-inch-long) fresh rosemary sprigs', ""Baker's sugar or other superfine sugar""]"
Cranberry and Pumpkin Pie Spice Tea Cake,"['1 1/2 cups unsalted butter (2 1/2 sticks), room temperature', '3/4 cup plus 3 tablespoons sugar', '2 large egg yolks', '1 large egg', '1/2 cup ground blanched almonds', '1 tablespoon vanilla extract', '1 cup fresh cranberries, coarsely chopped', '1 3/4 cups sifted unbleached all purpose flour', '1 1/2 teaspoons pumpkin pie spice', '1/2 cup dried cranberries or currants', 'Powdered sugar']","['1/2 cups unsalted butter (2 1/2 sticks), room temperature', 'plus 3 tablespoons sugar', 'egg yolks', 'egg', 'ground blanched almonds', 'vanilla extract', 'fresh cranberries, coarsely chopped', '3/4 cups sifted unbleached all purpose flour', '1/2 teaspoons pumpkin pie spice', 'dried cranberries or currants', 'Powdered sugar']"
Cranberry Coconut Layer Cake,"['3 cups cake flour (not self-rising)', '1 tablespoon baking powder', '1 teaspoon salt', '1 cup whole milk', '1/2 cup water', '1 1/2 teaspoons vanilla', '2 1/2 sticks (1 1/4 cups) unsalted butter, softened', '1 cup sugar', '5 large eggs', '1 vanilla bean', 'a 12-ounce bag fresh or unthawed frozen cranberries (about 3 1/2 cups)', '1 1/3 cups sugar', '1 cup water', '2 large egg whites', '1 cup sugar', '1/4 cup water', '1/4 teaspoon salt', 'a 7-ounce bag sweetened shredded coconut for coating cake (about 2 2/3 cups)']","['cake flour (not self-rising)', 'baking powder', 'salt', 'whole milk', 'water', '1/2 teaspoons vanilla', '1/2 sticks (1 1/4 cups) unsalted butter, softened', 'sugar', 'eggs', 'bean', 'a 12-ounce bag fresh or unthawed frozen cranberries (about 3 1/2 cups)', '1/3 cups sugar', 'water', 'egg whites', 'sugar', 'water', 'salt', 'a 7-ounce bag sweetened shredded coconut for coating cake (about 2 2/3 cups)']"
Cranberry Spice Cake,"['Nonstick vegetable oil spray', '1 1/2 cups all-purpose flour', '3/4 teaspoon ground cinnamon', '3/4 teaspoon kosher salt', '1/2 teaspoon ground cardamom', '1 teaspoon baking powder', '1/2 teaspoon baking soda', '2 cups (8 ounces) fresh (or frozen, thawed) cranberries', '2/3 cup sugar', '2/3 cup (packed) dark brown sugar', '1/2 cup grapeseed oil or other neutral vegetable oil', '2 large eggs', '1/2 cup sour cream', '1 tablespoon freshly grated orange zest', '2 teaspoon freshly grated lemon zest', '1 teaspoon vanilla extract', '1/3 cup apple cider', '1 cup powdered sugar', '2 teaspoons freshly grated lemon zest', '3 tablespoons strained fresh lemon juice', '1/8 teaspoon kosher salt', 'citrus-cranberry compote ; optional)', 'Special equipment: An 8""-square cake pan']","['Nonstick vegetable oil spray', '1/2 cups all-purpose flour', 'ground cinnamon', 'kosher salt', 'ground cardamom', 'baking powder', 'baking soda', '(8 ounces) fresh (or frozen, thawed) cranberries', 'sugar', '(packed) dark brown sugar', 'grapeseed oil or other neutral vegetable oil', 'eggs', 'sour cream', 'freshly grated orange zest', 'freshly grated lemon zest', 'vanilla extract', 'apple cider', 'powdered sugar', 'freshly grated lemon zest', 'strained fresh lemon juice', 'kosher salt', 'citrus-cranberry compote ; optional)', 'Special equipment: An 8""-square cake pan']"
Cranberry Walnut Upside Down Cake,"['1/2 stick (1/4 cup) unsalted butter', '3/4 cup packed light brown sugar', '1 3/4 cups fresh or frozen cranberries (7 ounces; do not thaw if frozen)', '3/4 cup coarsely chopped walnuts (3 ounces), toasted', '1 1/2 cups all-purpose flour', '1 1/2 teaspoons baking powder', '1 teaspoon baking soda', '1/2 teaspoon salt', '1 stick (1/2 cup) unsalted butter, softened', '3/4 cup granulated sugar', '2 large eggs', '1/2 teaspoon vanilla', '3/4 cup well-shaken buttermilk', 'Special equipment: a well-seasoned 10-inch cast-iron skillet', 'Accompaniment: lightly sweetened whipped cream']","['(1/4 cup) unsalted butter', 'packed light brown sugar', '3/4 cups fresh or frozen cranberries (7 ounces; do not thaw if frozen)', 'coarsely chopped walnuts (3 ounces), toasted', '1/2 cups all-purpose flour', '1/2 teaspoons baking powder', 'baking soda', 'salt', '(1/2 cup) unsalted butter, softened', 'granulated sugar', 'eggs', 'vanilla', 'well-shaken buttermilk', 'Special equipment: a well-seasoned 10-inch cast-iron skillet', 'Accompaniment: lightly sweetened whipped cream']"
Cream Cheese Pound Cake,"['1 cup (2 sticks) unsalted butter, room temperature', '1 8-ounce package cream cheese, room temperature', '3 cups sugar', '1 teaspoon salt', '6 large eggs, room temperature', '4 teaspoons vanilla extract', '3 cups sifted all purpose flour']","['(2 sticks) unsalted butter, room temperature', '8-ounce package cream cheese, room temperature', 'sugar', 'salt', 'eggs, room temperature', 'vanilla extract', 'sifted all purpose flour']"
Cream Cheese Turtle Cake,"['1 cup sliced almonds, lightly toasted', '1 cup chopped pecans, lightly toasted', '1 18.25-ounce box German chocolate cake mix', '1 1/4 cups water', '1/3 cup vegetable oil', '3 large eggs', '1/2 cup (1 stick) unsalted butter, room temperature', '3 1/2 cups powdered sugar', '1 8-ounce package cream cheese, cut into pieces, room temperature', '1 3/4 cups powdered sugar', '2 tablespoons unsweetened cocoa powder', '5 tablespoons whole milk', '1/4 cup (1/2 stick) unsalted butter', '3/4 cup semisweet chocolate chips', '1 teaspoon vanilla extract', '1/2 cup purchased caramel-flavored topping or dulce de leche topping']","['sliced almonds, lightly toasted', 'chopped pecans, lightly toasted', '18.25-ounce box German chocolate cake mix', '1/4 cups water', 'vegetable oil', 'eggs', '(1 stick) unsalted butter, room temperature', '1/2 cups powdered sugar', '8-ounce package cream cheese, cut into pieces, room temperature', '3/4 cups powdered sugar', 'unsweetened cocoa powder', 'whole milk', '(1/2 stick) unsalted butter', 'semisweet chocolate chips', 'vanilla extract', 'purchased caramel-flavored topping or dulce de leche topping']"
Danish Apple Cake,"['1 kilogram (2 pounds) Granny Smith apples', '90 grams (3 ounces) butter', 'sugar to taste', '2 cups (4 ounces) fresh breadcrumbs', '3 tablespoons sugar', '1/2 cup (4 fluid ounces) cream, whipped', 'red currant jelly (or jam)']","['(2 pounds) Granny Smith apples', '(3 ounces) butter', 'sugar to taste', '(4 ounces) fresh breadcrumbs', 'sugar', '(4 fluid ounces) cream, whipped', 'red currant jelly (or jam)']"
Dark Chocolate Brown Sugar Pound Cake with Chocolate Glaze,"['2 1/4 cups cake flour', '3/4 cup unsweetened Dutch-process cocoa', '1/2 teaspoon salt', '1/4 teaspoon baking soda', '1 cup sour cream (8 1/2 ounces)', '2 1/4 sticks (1 cup plus 2 tablespoons) unsalted butter, softened', '1 1/2 cups granulated sugar', '1 1/2 cups packed dark brown sugar', '1 tablespoon chocolate extract* (optional)', '1 teaspoon vanilla extract', '6 large eggs', '3 ounces fine-quality bittersweet chocolate (not unsweetened)', '2 tablespoons unsalted butter', 'Accompaniments:brown sugar sour cream', 'strawberries', '*available by mail order']","['1/4 cups cake flour', 'unsweetened Dutch-process cocoa', 'salt', 'baking soda', 'sour cream (8 1/2 ounces)', '1/4 sticks (1 cup plus 2 tablespoons) unsalted butter, softened', '1/2 cups granulated sugar', '1/2 cups packed dark brown sugar', 'chocolate extract* (optional)', 'vanilla extract', 'eggs', 'fine-quality bittersweet chocolate (not unsweetened)', 'unsalted butter', 'Accompaniments:brown sugar sour cream', 'strawberries', '*available by mail order']"
